Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,...8,...9,...10,...11,Fulcrum - Sorting App,...13,...14,Pinning,...16,...17,Fulcrum - Pinning App,...19,...20,local,range,Elevation,lat,long,trap...26,date,manager,trap...29
SRER_008.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C1,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C2,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C3,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220614.CARSP14.02,D14.2022.CARSP14.SRER.04,C4,3,Kmatthiesen,NA,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_010.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C5,1,Kmatthiesen,NA,Selenophorus sp. (likely S. planipennis),NA,NA,NA,[Det. Seleno. 20221117] Small individual--doesn't fully have the Selenophorus shape. Annoyed by the Parascutellar striae split in the key as Disco's also have this. But still leaning more towards Seleno.,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_001.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D1,2,Kmatthiesen,NA,Apristus tuckeri,20221115,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D2,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D3,3,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D4,8,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D5,1,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E1,1,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.S.20220628.CARSP14.02,D14.2022.CARSP14.SRER.04,E2,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E3,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.04,E4,2,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Maybe S. planipennis [EM],NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
